# sample_name	case	disease	experimental_strategy	sample_type	data_path	filesize	data_format	reference	UUID	system
C3L-03387.RNA-Seq.T.hg38-washu	C3L-03387	GBM	RNA-Seq	tumor	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/C3L-03387_tumor/Aligned.out.bam	11015325628	BAM	hg38	39020809-b085-4d33-a394-6c8bc9e06462	katmai
C3L-03390.RNA-Seq.T.hg38-washu	C3L-03390	GBM	RNA-Seq	tumor	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/C3L-03390_tumor/Aligned.out.bam	12152935998	BAM	hg38	7231f699-4158-4030-b87d-442d6e81dbca	katmai
C3L-03400.RNA-Seq.T.hg38-washu	C3L-03400	GBM	RNA-Seq	tumor	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/C3L-03400_tumor/Aligned.out.bam	10428290557	BAM	hg38	c7eb4074-aebf-4151-92ed-bd296b4ae7e6	katmai
C3L-03405.RNA-Seq.T.hg38-washu	C3L-03405	GBM	RNA-Seq	tumor	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/C3L-03405_tumor/Aligned.out.bam	10916438881	BAM	hg38	c4b734e8-020d-4248-86eb-59f2bcf15d4f	katmai
C3L-02707.RNA-Seq.T.hg38-washu	C3L-02707	GBM	RNA-Seq	tumor	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/C3L-02707_tumor/Aligned.out.bam	8264123092	BAM	hg38	9ad21a5a-4873-43de-8219-bc727f6257fa	katmai
C3N-01818.RNA-Seq.T.hg38-washu	C3N-01818	GBM	RNA-Seq	tumor	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/C3N-01818_tumor/Aligned.out.bam	9147534049	BAM	hg38	d8d9de4c-d808-4a1b-90a1-a4085a3f398f	katmai
C3L-02504.RNA-Seq.T.hg38-washu	C3L-02504	GBM	RNA-Seq	tumor	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/C3L-02504_tumor/Aligned.out.bam	10050899964	BAM	hg38	e72ce636-732f-489e-9dbf-b6a13d695163	katmai
C3L-01049.RNA-Seq.T.hg38-washu	C3L-01049	GBM	RNA-Seq	tumor	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/C3L-01049_tumor/Aligned.out.bam	10320159990	BAM	hg38	d0cdaede-f5ac-4e0d-9393-d3e6b868524d	katmai
C3N-02181.RNA-Seq.T.hg38-washu	C3N-02181	GBM	RNA-Seq	tumor	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/C3N-02181_tumor/Aligned.out.bam	10641865251	BAM	hg38	4bc39d50-42cb-48ce-b75d-933ace60fa63	katmai
PT-NPJ7.RNA-Seq.A.hg38-washu	PT-NPJ7	GBM	RNA-Seq	tissue_normal	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/PT-NPJ7_tissue_normal/Aligned.out.bam	9815436963	BAM	hg38	1bcce52a-b23b-48d7-94dd-032e03077d8a	katmai
PT-P44H.RNA-Seq.A.hg38-washu	PT-P44H	GBM	RNA-Seq	tissue_normal	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/PT-P44H_tissue_normal/Aligned.out.bam	10193689036	BAM	hg38	d0ab1bf3-3568-49f4-8d3d-80f58039e8d3	katmai
PT-QVJO.RNA-Seq.A.hg38-washu	PT-QVJO	GBM	RNA-Seq	tissue_normal	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/PT-QVJO_tissue_normal/Aligned.out.bam	8985211668	BAM	hg38	e055a02a-319e-4153-8d9e-94f1576c6407	katmai
PT-R55F.RNA-Seq.A.hg38-washu	PT-R55F	GBM	RNA-Seq	tissue_normal	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/PT-R55F_tissue_normal/Aligned.out.bam	9825501308	BAM	hg38	9ba6fa3b-fb40-4597-9b5f-464c56d470de	katmai
PT-RN5K.RNA-Seq.A.hg38-washu	PT-RN5K	GBM	RNA-Seq	tissue_normal	/diskmnt/Projects/cptac_scratch_2/CPTAC3_GBM_custom_BAMs/rnaseq/star.2.6.0c/PT-RN5K_tissue_normal/Aligned.out.bam	11244677511	BAM	hg38	c078b11e-4420-4d8f-8e9f-d2413dcd3b9e	katmai
